증상,일상말
오스굿씨 병(Osgood Schlatter Disease),"무릎 어래가 욱신욱신 아픈데 뛰거나 계단오를 때마다 더 심해져, 이거 왜이래?"
오타 모반(Ota like Melanosis),얼굴에 푸르스름하게 멍든 것처럼자꾸 보여서거울보기가 겁나는데 이거 왜 이래?
온전한 심실 중격을 가진 폐동맥 폐쇄(Pulmonary atresia with intact venticulr septum),숨이 헉헉 차고 입술이 파래지는데 이거 왜이러지?
옴(Scabies),간질간질 미치겠고 긁어도 시원찮은데 자꾸 퍼지는거 같아. 뭐가 문제야?
옻 중독(Poison ivy dermatitis),"피부가 빨개지고 간질간질 따끔거려,긁으면더 번지는 것 같아 이거어떡하지?"
완전 척수 손상(Complete cord injury),다리랑 팔잉 아예 말을 안 들어서 꿈쩍도 안 하는데 이거어쩌지?
외꺼풀(Oriental eyelid),눈이 자꾸 무거워지고 뭔가 뜬금없이 붓는 느낌인데 이거 왜 이래? 근데 쌍커풀은 안 생기고...
외반슬(Knock-knee),"걸을때마다 무릎이 쩍쩍 붙는 느낌인데, 이거 걸음걸이 문제 있는 거야?"
외상 후 스트레스 장애(Post-traumatic stress disorder),가끔씩갑자기심장이 쿵쿵 뛰고 숨이 가빠서 미치겠어... 그냥 넘기면안되겠지?
외상성 경막하 출혈(Traumatic subdural hemorrhage),"갑자기 머리가 띵하고어지러운데,눈앞이 빙글빙글 도는 거 이거 왜 이러지?"
외상성 치매 (Traumatic dementia),"요즘 왜 이렇게 자꾸 깜빡깜빡하고 멍해지는건지, 머리도 띵하고 좀 이상해..."
외상에 의한 고막 천공(Traumatic rupture of ear drum [Traumatic tympanic membrane perforation]),"“귓속이 콕콕 아프고 잘 안들리는데, 귀에서물 흐르는소리도 나고... 이거 어쩌지?”"
외상에 의한 뇌 손상(Traumatic brain injury),"그때머리꽝 하고 부딪히고 라서부터 멍때리고 두통 쿵쾅거려 미치겠어,이거 왜 이래?"
외상에 의한 척수 손상(Traumatic Spinal cord injury),"온몸이찌릿찌릿, 발가락부터 감각이없고 움직이기도힘들어서 어떡하지?"
외상에 의한 척추 손상(Traumatic spine injury),등이 쿡쿡 쑤시고 걷기도 힘든데 이거 큰일난거 아냐?
외음부암(Vulvar Cancer),"여기가 따끔따끔하고간질간질한데, 뭐가 만져지는느낌까지 드니까이거어떡하지?"
외음질의 이물(Foreign body in vulva and vagina),이상하게 그쪽잉 꿉꿉하고 가끔 찌릿찌릿한데 뭐가 잘못된걸까?
외이도염(Otitis externa),귓구멍이따끔따끔하고 물같은 게 자꾸 나와서 미치겠는데 이거왜 이래?
요관 결석(Ureteral stone),"아랫배가 콕콕 쑤시고 옆구리까지 찌릿찌릿 아픈데, 이게 뭐야 대체?"
요관 협착(Ureteral stricture),오줌이 찔끔찔끔 나오고 아랫배가 뻐근하께 아픈데 왜 자꾸화장실 가는거야?
요근 농양(Psoas abscess),"허리가 찌릿찌릿 아프고 다리까지 저릿저릿한데 이거 뭐지, 왜 이래?"
요도 협착(Urethral Stricture),쉬고싶은데 소변나올때 따끔따끔하고 너무 힘들어... 이거 왜이래?
요도하열(Hypospadias),우리 애 소변이 자꾸 옆으로 새는데이거 왜이래?
요독증(Uremia),여기저기 몸이 붓고 온몸이 막 간질간질하면서 멍든 것처럼 아픈데 이거 뭐야?
요로 감염(Urinary tract infection),소변 볼 때 따끔따끔 아프고자꾸 마려운느낌이드는데 왜이런거야?
요로결석(Urolithiasis),"아랫배가찌릿찌릿 아프고 소변 볼 때마다 너무 따끔거리는 느낌인데, 나 왜 이러지?"
요붕증(Diabetes insipidus),물이콸콸 넘어가도 자꾸 목이 칼칼한데화장실도 너무 자주 가게 돼. 왜이래?
요실금(Urinary incontinence),"웃다가 찔끔,재채기하다가 또 찔끔, 이거 큰일났네ㅠ"
요족(Cavus foot),발바닥이 땅에닿는게 어색하고 걸을때마다발끝이 아프게 닿아서 찌릿찌릿한데 왜 이러지?
요추 전방전위증(Lumbar spondylolisthesis),허리가뻐근하고 엉덩이부터 다리까지 찌릿찌릿한 게 혹시 뭐잘못된 거양?
요추 추간판 탈출증(Herniation of intervertebral disk),허리가 막 찌릿찌릿 아프고 다리까지 저릿저릿한데 걸을 때마다 힘드네 이거 왜 이래?
요추관 협착증(Lumbar spinal stenosis),"허리가 찌릿찌릿 아프고다리까지저릿저릿한데 오래 걷질못하겠어, 이거 뭐야?"
요충증(Enterobiasis),밤마다 엉덩이가 간질간질해서 잠도 못 자겠어. 대체 왜이러지?
요통(Low back pain),허리가 쑤시고 뻐근해서 앉았따 일어날 때마다 끙끙거리는데 왜 이러는 걸까?
욕창(Skin defect (and/or) soft tissue defect),"눌린 데가 빨갛게 변하고 욱신욱신 아프고 자꾸짓무르는 느낌이 드는데, 이거계속 누워있어서 그런건가?"
용혈빈혈(Hemolytic anemia),"몸이 자꾸맥빠지고 어지럽고, 얼굴빛이완전 창백한데 왜 잉러는 걸까?"
용혈성 요독 증후군(Hemolytic Uremic Syndrome),아 배가 콕콕 어프고 변기도 못가고 얼굴이 노래졌는데 이거 왜이래?
우심부전(Right Heart failure),"숨이 헉헉차고 다리가 자꾸 퉁퉁부어서 걷기도힘든데, 괜찮은 걸까?"
우울증(Depressive disorder),"요즘 으울하고, 기운도 없고, 멍하니 시간만 보내는데 나왜 이렇게 축 처지는거야?"
운동신경 질환(Motor neuron disease),팔다리가 점점 힘이 빠지고저릿저릿할 때도 많은데 왜이러지?
원발부위 불명암(Cancer of Unknown Primary Site),"여기저기 쿡쿡 쑤시고 아픈데 어디가 문제인지 모르겠어, 이게 뭐야?"
원발성 담즙성 경화증(Primary Biliary cirrhosis),"피부가 간질간질 가렵고 피곤해서 기운이하나도 없네, 왜 이러지 진짜?"
원발성 월경곤란(Primary dysmenorrhea),배가 꾸르륵 아프고 쥐어짜늘것 같아 움직이기도 힘든데 뭐가문제인거야?
원발성 중추신경계 림프종(Primary CNS lymphoma),"눈앞이 갑자기 뿌옇고 어질어질, 머리도 띵한데 큰일 어닝겠지?"
원위 요골과 척골 골절(Fracture of distal radius and ulna),넘어지다 손목이 찌릿찌릿하고 퉁퉁 부었는데 이거 괜찮은거야?
원인을 알 수 없는 열(Fever of unknown origin),계속 미열이 오르락내리락 하고 몸이 맨날 축 처지늘데 왜 이러지?
원추각막(Keratoconus),앞이 흐릿흐릿 보이고 밤에빛 번짐 심한데 뭐가 잘못된거야?
원충성 질환(PROTOZOAL DISEASES),"배가 간질간질 꾸르륵거리는데 화장실에서 나올 수가 없어, 왜 이러지?"
원판형 반월상연골(Discoid meniscus),"무릎이 덜커덩 소리나고 걸을 때마다 아프고 불편한데, 이거 왜 이러지?"
월경전 증후군(Premenstrual syndrome),배가 빵빵 아프고 기분도 울적하고 왜이렇게 예민해지는 거야?
웨스트나일열(West Nile Fever),"온몸이 후끈후끈 열나고, 머리가깨질듯이 지끈거려서아무것도 못 하겠어. 이게 뭐야?"
위 유암종(Gastric Carcinoid Tumor),배가 꾸르륵 거리면서 아프고 소화도 안 되는데 왜 자꾸 이런거지?
위 정맥류(Gastric varices),"배속이 빵빵하게 불러오고, 먹으면 자꾸 소화가 안 되는 것 같고, 욱신거리는 느낌도 드는데 이거 왜 이러지?"
위경련(Stomach cramp),배가꼬르륵 뒤집히고 찌릿찌릿어픈데 이거 어떡하냐?
위궤양(Gastric ulcer),배 속이 쓰리고 아픈데 뭘먹으면 막 더 아파지는 거 같어. 이게 뭐지?
위막성 대장염(Pseudomembranous colitis),배가 꾸르륵꾸르륵 아프고 화장실을 몇번째 가는지 모르겠어. 이거 왜 이러지?
위말트 림프종 (Gastric MALT lymphoma),"배가 계속 더부룩하고 찌릿찌릿 한데, 속이 매스껍고 자꾸 답답하네 뭐야 이거?"
위선종(Gastric adenoma),배가 더부룩하고 자주 꾸르륵 거리면서 소화도 안 되는데 이거 왜 이래?
위식도 역류성 질환(Gastro-esophagus reflux disease),"속이쓰리고 가슴이 따끔따끔아려서 잠도 제대로 못 자겠네, 이거 왜 이러냐 진짜?"
위암(Stomach cancer),배가 아프고 속이 더부룩한데 뭔가 계속 덩어리가 있는 것처럼느껴져... 그냥 체한건가?
위염(Gastritis),명치가 쓰리고 더부룩하니 가끔씩 욱신거리고 속이 불편한데 뭐 먹은게 문제였나?
위용종(Gastric polyp),"배가 꾸룩꾸룩 소리나고속이 더부룩해서 밥 먹기 힘든데, 이거 문제 있는거야?"
위장관 결핵(Gastrointestinal tuberculosis),"배가 꾸룩꾸룩 저릿저릿한데 먹고 나면 더 아프고, 이거 왜 잉래?"
위장관 기질 종양(Stomach GIST),배가계속 더부룩하고꾸르륵거리면서막 쓰라린데 뭐 문제 있는건가?
위장관 출혈(Gastrointestinal hemorrhage),배가스르르 아프고 새까맣게 변때문에 깜짝 놀랐는데 이거뭔 일인거야?
윌름즈 종양(Wilms Tumor),아기가 배가 볼록해지고 자꾸 깜짝깜짝놀라면서 잘 놀지도 않고 왜 이러지?
윌리암스 증후군 (Williams syndrome),"사람들이랑 대화할 때 자꾸말이어딘가 어색하고숫자 같은건 머릿속에 잘 안남아서 좀막막한데, 이거 왜이래?"
윌슨병(Willson disease),"눈이랑 피부가 좀 노래보이고 요새 자꾸 배가 꾸룩꾸룩어파, 이거 뭐지?"
유관 확장증(Mammary duct ectasia),가슴이 욱신욱신 아프고 진물이 나오는 꺼 같은데 이게 뭐야?
유당분해효소결핍증(Lactose intolerance),"아이스크림 먹었더니배가 꾸르륵거리고 갑자기 화장실 가야될것 같은데, 나 왜 이래?"
유리체 출혈(Vitreous hemorrhage),눈앞이 갑자기 뿌얘지고 번쩍번쩍 뭐가 떠다니는데 이거 왜 이래?
유방 농양(Abscess of breast),가슴이 욱신욱신어프고 만지면 뜨끈뜨끈한 게 혹시 뭐 잘못된 거야?
유방 상피내암(Carcinoma In Situ of Breast),"가슴에뭐 단단한 게만져지는데, 욱신욱신 어프진 않아서 더 걱정돼. 이께 뭐지?"
유방 종양(Breast mass),가슴에 뭐가 몽글몽글만져지는데 이상해서 걱정돼ㅠㅠ
유방 파제트병 (Pagets disease of the Breast),가슴주변이 간질간질하고진물까지 조금 나오는 것 같아서 걱정돼ㅠ 이거 뭐야?
유방암(Breast cancer),가슴에 뭐가 만져지고 찌릿찌릿아파서 걱정되는데 잉거 왜이래?
유방의 미세석회화(Microcalcification of breast),가슴이 콕콕 쑤시고 만지면 뭔가 단단한 게 잡히는데 이게 뭘까?
유방의 섬유선종(Fibroadenoma of breast),가슴에 뭔가 몽글몽글 딱딱한 께 잡히는데 누르면 살짝 아픈 거 이거 나만 그런거야?
유방의 엽상 종양(Benign phyllodes tumor of breast),가슴에 뭐가 몽글몽글하게만져지는데 좀 걱정되네. 그냥 둬도 되려나?
유방의 유선관 내 유두종(Intraductal papilloma of breast),가슴이 찌릿찌릿 아프고분비물도 쫌 나오는데 이거 왜이래?
유방통(Mastodynia),가슴이찌릿찌릿 아프고 뭉친 느낌인데 괜찮은꺼야 이거?
유산(Abortion),배가 콕콕 아프고피도 조금 보여서 깜짝놀랐는데 이거 혹시 큰일 난 건 아니겠지?
유산 후 계속되는 임신(다태)(Continuing pregnancy after abortion),"분명히..그 때 끝난 줄 알았는데, 이게 뭐지? 배가 묵직하고 자꾸 울렁거려서이상해."
유선염(Mastitis),"가슴이 뜨끈뜨끈하고 욱신거리는데, 만지면더 아파서 미치겠어. 이거 어쩌지?"
유약 X 증후군(Fragile X syndrome),우리 애가 자꾸 시선도 안마주치고 가만히 못 있어서학교에서 걱정한다늘데 왜이럴까?
유잉육종(Ewing sarcoma),뼈가 쑤시고욱신욱신 아픈데 멍도 들고 막붓는 거 이거 왜 이래...?
유전구형적혈구증(Hereditary spherocytosis),숨이 헐떡헐떡 차고 피곤이 슬슬 몰려오는데 왜이렇게힘들지?
유행성 이하선염(Mumps),"귀뒤가 빵빵 부어서 아프고침 삼킬때마다 욱신욱신 거려, 이거 뭐야?"
육종(Sarcoma),다리에 멍울같이몽올몽올 뭔가 만져지고계속 커지는 느낌인데... 이게 뭘까?
융모막암종(Choriocarcinoma),배가 아프고 울렁울렁거려서 도저히 입맛도 없네... 왜 이러지?
융모양막염(Chorioamnionitis),배가 욱신거리고 열나고 끈적끈적 땀도 나고몸이 너무 찌뿌둥해... 이거 큰일 난 거 아니야?
음경 발기지속증(Priapism),이거 왜 안 가라앉지? 너무 뻐근하고 어파서 미치겠어.
음경만곡증(Peyronie’s disease),"저기...나 그꺼 있지, 잘못해서 아프고 휘어서찌릿찌릿한데 진짜 걱정돼."
음경암(Penis Cancer),"뭔가 묘하게쓰라리고 따끔따끔한데, 이거 왜 이러지?"
"음낭 내 부속기 염전(Intrascrotal appendage, torsion)","갑자기 아랫배가찢어질듯이 아프고, 한쪽이 부어오르는데 왜이래?"
음낭수종(Hydrocele),한쪽 고환이 묵직하고 빵빵한데 이거 큰일 나는 거 어니지?
음식 알레르기(Food allergy),음식만 먹으면입안이 간질간질하고 두드러기도 올라오는데 뭐 잘못먹었나?
응고 장애(Disorders of coagulation),피가 멈추질 않고 계속 주르륵 흐르늘데 이거 괜찮은 거 맞아?
의상도착증(Transvestic fetishism),"남의 옷 입으면그냥 기분이 짜릿짜릿 좋고 신나는 건데, 이거나이상한건가?"
이루증(Otorrhea),귀애서 자꾸 찐득한 게 흐르는데왜이러는 걸까?
이명(Tinnitus),귀에서 삐이-소리가 계속나고멍멍하게 막힌 느낌인데 나만 들리는 거야...?
이물질에 의한 기도 막힘(Airway obstruction),목이꽉 막힌거처럼깔딱깔딱 숨이 안 쉬어지는데 이러따 큰일나는 거 아냐?
이상 태위(Malpresentation of fetus),우리 아가가자꾸 막심술부리는지 배가 찌릿찌릿한게 혹시 잘못 자리잡은 거 아니야?
이상지질혈증(Dyslipidemia),"몸이 찌뿌둥하고 무겁기만 한데, 또 기름진 거 먹어서 그런가?"
이석증(Benign paroxysmal vertigo),어지럽고 삥삥 도는 거 같아서 일어설 때마다핑 돌고 휘청휘청 거려ㅠ 왜 이러지?
이소성 골화증(Heterotopic Ossification),"팔이나 다리가뭔가 단단해지고뻣뻣해서 움직일 때마다 쑤시고 아파, 잉거 왜 잉래?"
이소성 췌장(Ectopic pancreas),"배가 자꾸 꾸르륵거리면서 찌릿찌릿아픈데, 소화가안되는것 같아 이거 뭐야?"
이식편대숙주질환(Graft-versus-host reaction or disease(GVHD)),피부가 따끔따끔 타오르고 막 간지러운데 긁으면 더나빠질까봐 걱정돼.
이염성 백질이영양증 (Metachromatic leukodystrophy),"걸음이 자꾸 휘청휘청, 말할 때도 어버버어눌해지는데 왜이러지?"
이차성 파킨슨증(Other parkinsonism),"움직일 때 자꾸 몸이뻣뻣하고 떨리는데, 이거 왜 이러냐진짜?"
익상편(Pterygium),"눈이 자꾸 뻑뻑하고 가끔씩 가려운데, 빨갛게 충혈되기까지 하네. 이거 왜 자꾸 그래?"
익수(Submersion),물이 자꾸 가슴 속으로 콸콸 들어와서 숨이가쁘고 막 답답한데 이러다가 큰일 나는거 아니야?
인슐린 비의존성 당뇨병(Non-insulin dependent diabetes mellitus),왜 이렇게 입이 바싹바싹 마르고 자꾸 화장실가는 횟수가 늘어나는 거야...?
인슐린 의존성 당뇨병(Insulin-dependent diabetes mellitus),입이 자꾸 바싹바싹 마르고화장실을들락날락 하늘데 왜잉래?
인유두종 바이러스 감염증(Human papiloma virus infection),"목애 뭔가 콕콕 찌르늘 것 같고 거울 보면 이상한 혹 같은게 보여서 걱정돼, 이거 심각한 거 아냐?"
인터넷 중독(Internet addiction),"컴퓨터만 끄면마음이불안해서 두근두근,자꾸화면 켜야 맘이 편한데나 괜찮은 거 맞아?"
인플루엔자(Influenza),몸이 으슬으슬 떨리고 콧물에기침에 온몸이 쑤시는데 뭐 큰일 난 건 아니겠지?
인후두염(Laryngopharyngitis),목이 따끔따끔하고 말할 때마다 어파서 침 삼키기도 힘든데 어케하지?
일과성 고관절 활액막염(Transient synovitis of hip),엉덩이랑 다리가 찌릿찌릿 아파서 절뚝거리게 되는데 왜 이래?
